date,code,title,price,market_cap,number_of_investors,number_of_shares
2020-06-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.57604,58072860.81,1277.0,36847329.0
2020-06-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.570203,59109071.54,1296.0,37644219.0
2020-06-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.580769,62300508.07,1320.0,39411515.0
2020-06-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.594085,63084263.91,1333.0,39573976.0
2020-06-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.602046,65655048.8,1339.0,40982008.0
2020-06-25,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.619143,62853663.39,1374.0,38819093.0
2020-06-26,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.610049,63977662.45,1378.0,39736464.0
2020-06-29,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.600417,62619189.63,1375.0,39126784.0
2020-07-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.617691,67208378.43,1441.0,41545868.0
2020-07-03,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.616036,71087366.4,1484.0,43988740.0
2020-07-06,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.618509,73372256.37,1508.0,45333226.0
2020-07-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.61999,75479625.19,1538.0,46592652.0
2020-07-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.627757,76646480.04,1546.0,47087182.0
2020-07-09,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.635046,77587953.53,1578.0,47453063.0
2020-07-13,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.646811,97550068.72,1656.0,59235743.0
2020-07-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.650095,100017640.37,1669.0,60613270.0
2020-07-16,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.643975,98994547.06,1696.0,60216591.0
